"year","pct","ser_num","datestop","timestop","city","sex","race","age"
2012,32,489,20120107,2200,1,1,1,17
2012,34,148,20120107,2200,1,1,2,21
2012,33,120,20120107,2205,1,1,2,24
2012,46,180,20120107,2215,3,1,1,16
2012,104,88,20120107,2216,4,1,3,27
2012,88,231,20120107,2217,2,1,1,47
2012,83,181,20120107,2220,2,1,3,34
2012,32,252,20120107,2222,1,1,1,27
2012,104,177,20120107,2225,4,1,1,20
2012,106,60,20120107,2230,4,1,5,36
2012,32,322,20120107,2230,1,1,1,21
2012,71,153,20120107,2253,2,1,1,28
2012,32,260,20120107,2254,1,1,1,16
2012,32,256,20120107,2254,1,1,1,18
2012,47,163,20120107,2315,3,1,1,19
2012,101,174,20120107,2315,4,1,1,21
2012,78,74,20120107,2320,2,0,1,15
2012,7,56,20120107,2325,1,1,3,35
2012,106,47,20120107,2330,4,1,1,31
2012,63,66,20120107,2330,2,1,1,18
2012,120,198,20120107,2342,5,1,1,22
2012,23,638,20120107,2350,1,1,1,17
2012,75,496,20120108,5,2,1,3,21
2012,120,180,20120108,20,5,1,3,32
2012,32,247,20120108,30,1,1,1,16
2012,32,304,20120108,35,1,1,1,35
2012,32,263,20120108,36,1,1,1,20
2012,90,415,20120108,40,2,1,1,28
2012,1,54,20120108,42,1,1,3,31
2012,106,55,20120108,45,4,1,5,30
2012,32,772,20120108,100,1,1,1,30
2012,48,43,20120108,100,3,1,1,17
2012,14,150,20120108,105,1,1,4,24
2012,32,266,20120108,108,1,1,1,13
2012,111,54,20120108,125,4,1,4,21
2012,90,274,20120108,145,2,0,1,18
2012,103,680,20120108,200,4,1,5,18
2012,13,53,20120108,205,1,1,4,27
2012,72,40,20120108,215,2,1,3,27
2012,5,76,20120108,230,1,1,2,31
2012,60,102,20120108,235,2,1,1,32
2012,71,172,20120108,307,2,1,1,18
2012,66,52,20120108,532,2,1,1,25
2012,52,227,20120108,635,3,0,2,27
2012,70,262,20120108,800,2,1,5,45
2012,100,232,20120108,945,4,1,4,22
2012,100,234,20120108,1031,4,0,1,42
2012,120,398,20120108,1040,5,1,5,50
2012,19,161,20120108,1103,1,0,4,31
2012,110,154,20120108,1129,4,1,3,54
2012,120,290,20120108,1206,5,1,1,45
2012,20,56,20120108,1235,1,1,3,27
2012,81,213,20120108,1345,2,1,1,64
2012,100,289,20120108,1355,4,1,1,64
2012,70,232,20120108,1415,2,1,1,31
2012,90,265,20120108,1430,2,1,3,19
2012,73,407,20120108,1448,2,1,1,24
2012,19,162,20120108,1610,1,0,4,28
2012,24,45,20120108,1645,1,1,2,52
2012,67,118,20120108,1710,2,1,1,30
2012,73,212,20120108,1735,2,0,1,20
2012,109,1048,20120108,1735,4,1,4,20
2012,41,523,20120108,1830,3,1,3,47
2012,41,723,20120108,1840,3,1,3,22
2012,40,368,20120108,1849,3,0,1,26
2012,49,186,20120108,1900,3,1,3,16
2012,75,531,20120108,1913,2,1,1,33
2012,70,167,20120108,1938,2,1,1,42
2012,32,366,20120108,2008,1,1,1,17
