"year" "pct" "ser_num" "datestop" "timestop" "city" "sex" "race" "dob" "age"
"9289" 2012 75 242 1062012 930 2 1 1 9091983 28
"9325" 2012 41 502 1062012 953 3 1 4 4091955 56
"9329" 2012 5 148 1062012 1000 1 1 1 7021959 52
"9352" 2012 84 81 1062012 1019 2 1 1 2171993 18
"9361" 2012 67 1896 1062012 1030 2 1 1 10231995 16
"9367" 2012 112 23 1062012 1033 4 1 4 8251988 23
"9401" 2012 14 132 1062012 1100 1 1 1 1011968 42
"9426" 2012 112 24 1062012 1120 4 1 1 7051969 42
"9459" 2012 113 54 1062012 1140 4 1 1 10261992 19
"9480" 2012 107 678 1062012 1154 4 1 1 2011995 16
"9521" 2012 42 255 1062012 1225 3 1 2 11011994 16
"9563" 2012 40 448 1062012 1250 3 0 1 5201987 24
"9657" 2012 14 146 1062012 1330 1 1 3 12311900 41
"9690" 2012 106 112 1062012 1345 4 1 3 2281995 16
"9701" 2012 104 53 1062012 1349 4 1 4 3031969 42
"9712" 2012 60 89 1062012 1355 2 1 1 12311900 25
"9752" 2012 111 35 1062012 1410 4 1 3 12311900 46
"9759" 2012 77 447 1062012 1415 2 1 1 6231989 22
"9789" 2012 88 46 1062012 1425 2 1 3 12311900 20
"9813" 2012 19 267 1062012 1433 1 1 3 3051982 29
"9834" 2012 70 107 1062012 1445 2 1 1 12311900 35
"9838" 2012 75 284 1062012 1450 2 1 1 10081978 59
"9862" 2012 67 188 1062012 1500 2 1 1 12311900 21
"9878" 2012 88 191 1062012 1510 2 0 1 12311900 17
"9896" 2012 81 1616 1062012 1515 2 1 1 12311900 52
"9905" 2012 67 158 1062012 1516 2 1 1 12311900 51
"9924" 2012 63 84 1062012 1520 2 1 1 12311900 21
"9959" 2012 120 261 1062012 1530 5 1 4 12311900 20
"9966" 2012 42 121 1062012 1535 3 1 3 10161993 18
"9967" 2012 112 54 1062012 1535 4 1 3 11261990 22
"9980" 2012 28 188 1062012 1540 1 1 3 9271995 16
"10002" 2012 75 322 1062012 1547 2 1 1 12121989 22
"10007" 2012 41 225 1062012 1550 3 0 2 8151969 42
"10016" 2012 40 639 1062012 1555 3 1 1 12311900 15
"10069" 2012 48 68 1062012 1610 3 1 1 12311900 26
"10072" 2012 100 119 1062012 1612 4 1 1 6021978 33
"10078" 2012 44 2125 1062012 1615 3 1 1 8101982 30
"10131" 2012 45 74 1062012 1630 3 1 1 12311900 16
"10150" 2012 75 376 1062012 1632 2 1 3 11201990 21
