"isolate" "year" "partyid" "age" "attend" "south" "income" "female" "minority"
"4214" -1 1956 2 60 4 0 4 0 0
"4216" 1 1956 4 50 4 0 2 1 0
"4217" 0 1956 1 49 1 1 2 1 0
"4218" 1 1956 2 64 1 1 2 1 0
"4219" -1 1956 4 60 2 0 1 1 0
"4220" 1 1956 1 64 4 0 1 0 1
"4221" 1 1956 3 52 4 0 3 0 0
"4222" 1 1956 1 35 1 0 3 1 0
"4223" 1 1956 1 32 4 1 4 1 0
"4224" -1 1956 1 66 1 1 2 1 0
"4225" 1 1956 1 40 4 0 3 0 0
"4226" -1 1956 2 26 1 0 3 1 0
"4227" -1 1956 2 52 1 0 3 1 0
"4228" 1 1956 2 33 1 1 3 0 0
"4229" -1 1956 4 38 1 0 3 1 0
"4230" -1 1956 3 42 5 0 4 0 0
"4231" -1 1956 2 32 1 1 4 1 0
"4232" -1 1956 3 27 1 0 3 1 0
"4233" -1 1956 2 44 1 0 4 1 0
"4234" -1 1956 1 57 1 0 3 1 0
"4235" 1 1956 2 47 2 1 5 0 0
"4236" 1 1956 1 52 2 1 3 1 0
"4237" 0 1956 1 44 4 1 4 0 0
"4238" 1 1956 1 68 1 0 2 1 0
"4239" 0 1956 2 27 1 0 3 1 0
"4240" -1 1956 1 45 5 0 4 1 0
"4241" 0 1956 3 39 1 0 5 0 0
"4242" 1 1956 1 48 2 1 1 1 1
"4243" -1 1956 2 52 2 1 4 1 0
"4244" -1 1956 2 27 1 0 4 1 0
"4245" -1 1956 3 25 5 0 3 0 0
"4247" 1 1956 2 72 4 0 1 1 0
"4248" -1 1956 2 29 4 1 4 0 0
"4249" -1 1956 2 55 4 0 2 0 0
"4250" -1 1956 4 29 4 0 2 0 1
"4251" 1 1956 2 30 1 0 3 0 0
"4252" 0 1956 1 35 2 1 4 1 0
"4253" 1 1956 4 55 4 0 4 0 0
"4255" -1 1956 1 29 4 0 3 1 0
"4256" -1 1956 3 48 4 0 4 0 0
"4257" -1 1956 1 32 1 0 2 1 0
"4258" -1 1956 1 30 1 0 3 1 0
"4259" 1 1956 1 40 4 0 4 0 0
"4260" -1 1956 1 71 4 1 2 0 0
"4261" -1 1956 1 28 1 0 2 0 0
"4262" 1 1956 4 78 1 0 3 1 0
"4263" 0 1956 2 71 1 0 1 1 0
"4264" -1 1956 2 37 2 0 4 1 0
"4265" 0 1956 2 46 1 0 3 1 0
"4266" -1 1956 2 25 4 0 4 0 0
"4267" 1 1956 2 75 1 0 1 0 0
"4268" 1 1956 1 55 4 0 4 1 0
"4269" 1 1956 1 54 4 1 3 0 0
"4270" 1 1956 1 68 2 0 2 1 0
"4272" 1 1956 2 31 5 0 3 1 0
"4273" -1 1956 2 48 5 0 3 0 0
"4274" 1 1956 1 28 4 0 4 1 1
"4275" -1 1956 4 26 1 0 3 1 0
"4276" 0 1956 2 41 1 1 4 0 0
"4277" -1 1956 3 40 1 0 4 0 0
"4278" 0 1956 1 71 1 1 1 1 1
"4279" -1 1956 1 29 1 1 3 1 0
"4280" -1 1956 2 29 1 1 3 1 0
"4281" -1 1956 2 40 4 0 3 1 0
"4282" -1 1956 3 33 5 0 3 1 0
"4283" 1 1956 1 41 2 1 2 1 0
"4284" -1 1956 1 34 1 0 5 1 0
"4285" 0 1956 2 22 2 0 1 1 0
"4286" -1 1956 4 53 4 0 4 1 0
"4287" 0 1956 2 25 2 1 1 1 0
"4288" 1 1956 4 64 1 0 1 0 0
"4289" 1 1956 2 75 4 1 1 0 0
"4290" 1 1956 2 54 2 0 2 0 0
"4291" 0 1956 2 45 1 0 1 1 0
"4292" -1 1956 2 50 4 1 2 1 0
"4293" 1 1956 4 36 1 0 3 0 0
"4294" -1 1956 3 25 4 1 2 1 0
"4295" 1 1956 3 49 1 0 2 0 0
"4296" -1 1956 1 50 1 0 4 0 0
"4297" 1 1956 1 76 1 0 1 0 1
"4298" 1 1956 3 69 1 1 2 1 0
"4299" 1 1956 2 47 4 0 4 0 0
"4301" 1 1956 2 51 1 0 4 0 0
"4302" -1 1956 3 31 1 0 3 0 0
"4303" -1 1956 3 24 2 0 3 0 0
"4304" -1 1956 1 74 4 0 1 0 0
"4305" 0 1956 1 38 2 0 2 1 0
